Check Number,Check Category,Check Description,Check Query,Check Table Name,Check Column Name,Check Status,Rows Scanned,Rows Failed,Check Run Date,Remarks
6312,uniqueness,Check for uniqueness,SELECT * FROM users WHERE condition,invoices,column_9,fail,415,401,2023-11-19 06:47:22,Remark
7809,completeness,Check for completeness,SELECT * FROM refunds WHERE condition,payments,column_9,pass,289,71,2023-10-21 12:36:20,
4105,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,invoice_payments,column_10,pass,318,50,2023-10-11 10:31:29,
5410,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,sales,column_6,fail,324,312,2023-09-06 17:10:43,
9053,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,product_webinars,column_5,pass,825,561,2023-01-06 10:52:41,
6535,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,products,column_6,pass,748,333,2023-10-01 06:25:25,
3131,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,payments,column_3,fail,94,10,2023-05-05 07:07:30,Remark
1787,completeness,Check for completeness,SELECT * FROM product_webinars WHERE condition,invoices,column_2,fail,835,553,2023-03-20 21:58:42,Remark
7291,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,invoice_payments,column_7,fail,590,247,2023-04-23 18:04:01,
3103,consistency,Check for consistency,SELECT * FROM users WHERE condition,refunds,column_5,fail,71,11,2023-09-21 14:09:56,
2451,accuracy,Check for accuracy,SELECT * FROM sales WHERE condition,admins,column_9,fail,858,722,2023-07-23 17:23:00,Remark
8550,consistency,Check for consistency,SELECT * FROM payments WHERE condition,discounts,column_10,fail,594,281,2023-06-24 23:33:09,Remark
5856,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,refunds,column_2,fail,602,343,2023-03-15 22:27:34,
266,completeness,Check for completeness,SELECT * FROM sales WHERE condition,admins,column_4,fail,814,174,2023-05-10 03:27:41,Remark
1019,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,orders,column_4,pass,837,587,2023-09-04 07:13:55,
438,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,payments,column_10,pass,401,46,2023-05-24 17:57:15,
597,datafreshness,Check for datafreshness,SELECT * FROM users WHERE condition,payments,column_3,pass,491,107,2023-10-10 09:34:40,
374,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,refunds,column_2,fail,72,28,2023-01-28 22:49:29,Remark
5740,uniqueness,Check for uniqueness,SELECT * FROM orders WHERE condition,users,column_9,fail,41,38,2023-02-09 04:39:14,Remark
3267,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,admins,column_8,pass,715,688,2023-03-20 23:57:44,
2593,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,product_webinars,column_5,pass,612,452,2023-09-16 11:53:45,
217,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,subscribers,column_10,fail,665,365,2023-05-31 22:24:29,Remark
2514,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,users,column_8,pass,344,23,2023-07-31 09:25:31,Remark
2210,consistency,Check for consistency,SELECT * FROM invoice_payments WHERE condition,products,column_6,fail,690,367,2023-08-18 05:47:12,
5084,uniqueness,Check for uniqueness,SELECT * FROM admins WHERE condition,subscribers,column_2,pass,609,196,2023-09-29 07:15:45,Remark
